Protein1,Protein2,Score
sp|P00105|PROT105_HUMAN,sp|P00212|PROT212_HUMAN,0.999
sp|P00106|PROT106_HUMAN,sp|P00151|PROT151_HUMAN,0.999
sp|P00106|PROT106_HUMAN,sp|P00211|PROT211_HUMAN,0.999
sp|P00107|PROT107_HUMAN,sp|P00150|PROT150_HUMAN,0.999
sp|P00107|PROT107_HUMAN,sp|P00210|PROT210_HUMAN,0.999
sp|P00108|PROT108_HUMAN,sp|P00149|PROT149_HUMAN,0.999
sp|P00108|PROT108_HUMAN,sp|P00209|PROT209_HUMAN,0.999
sp|P00109|PROT109_HUMAN,sp|P00148|PROT148_HUMAN,0.999
sp|P00109|PROT109_HUMAN,sp|P00208|PROT208_HUMAN,0.999
sp|P00110|PROT110_HUMAN,sp|P00147|PROT147_HUMAN,0.999
sp|P00110|PROT110_HUMAN,sp|P00207|PROT207_HUMAN,0.999
sp|P00111|PROT111_HUMAN,sp|P00146|PROT146_HUMAN,0.999
sp|P00111|PROT111_HUMAN,sp|P00206|PROT206_HUMAN,0.999
sp|P00112|PROT112_HUMAN,sp|P00145|PROT145_HUMAN,0.999
sp|P00112|PROT112_HUMAN,sp|P00205|PROT205_HUMAN,0.999
sp|P00113|PROT113_HUMAN,sp|P00144|PROT144_HUMAN,0.999
sp|P00113|PROT113_HUMAN,sp|P00204|PROT204_HUMAN,0.999
sp|P00114|PROT114_HUMAN,sp|P00143|PROT143_HUMAN,0.999
sp|P00114|PROT114_HUMAN,sp|P00203|PROT203_HUMAN,0.999
sp|P00115|PROT115_HUMAN,sp|P00142|PROT142_HUMAN,0.999
sp|P00115|PROT115_HUMAN,sp|P00202|PROT202_HUMAN,0.999
sp|P00116|PROT116_HUMAN,sp|P00141|PROT141_HUMAN,0.999
sp|P00116|PROT116_HUMAN,sp|P00201|PROT201_HUMAN,0.999
sp|P00117|PROT117_HUMAN,sp|P00140|PROT140_HUMAN,0.999
sp|P00117|PROT117_HUMAN,sp|P00200|PROT200_HUMAN,0.999
sp|P00118|PROT118_HUMAN,sp|P00139|PROT139_HUMAN,0.999
sp|P00118|PROT118_HUMAN,sp|P00199|PROT199_HUMAN,0.999
sp|P00119|PROT119_HUMAN,sp|P00138|PROT138_HUMAN,0.999
sp|P00119|PROT119_HUMAN,sp|P00198|PROT198_HUMAN,0.999
sp|P00120|PROT120_HUMAN,sp|P00137|PROT137_HUMAN,0.999
sp|P00120|PROT120_HUMAN,sp|P00197|PROT197_HUMAN,0.999
sp|P00121|PROT121_HUMAN,sp|P00136|PROT136_HUMAN,0.999
sp|P00121|PROT121_HUMAN,sp|P00196|PROT196_HUMAN,0.999
sp|P00122|PROT122_HUMAN,sp|P00135|PROT135_HUMAN,0.999
sp|P00122|PROT122_HUMAN,sp|P00195|PROT195_HUMAN,0.999
sp|P00123|PROT123_HUMAN,sp|P00134|PROT134_HUMAN,0.999
sp|P00123|PROT123_HUMAN,sp|P00194|PROT194_HUMAN,0.999
sp|P00124|PROT124_HUMAN,sp|P00133|PROT133_HUMAN,0.999
sp|P00124|PROT124_HUMAN,sp|P00193|PROT193_HUMAN,0.999
sp|P00125|PROT125_HUMAN,sp|P00132|PROT132_HUMAN,0.999
sp|P00125|PROT125_HUMAN,sp|P00192|PROT192_HUMAN,0.999
sp|P00126|PROT126_HUMAN,sp|P00131|PROT131_HUMAN,0.999
sp|P00126|PROT126_HUMAN,sp|P00191|PROT191_HUMAN,0.999
sp|P00127|PROT127_HUMAN,sp|P00130|PROT130_HUMAN,0.999
sp|P00127|PROT127_HUMAN,sp|P00190|PROT190_HUMAN,0.999
sp|P00127|PROT127_HUMAN,sp|P00250|PROT250_HUMAN,0.999
sp|P00128|PROT128_HUMAN,sp|P00129|PROT129_HUMAN,0.999
sp|P00128|PROT128_HUMAN,sp|P00189|PROT189_HUMAN,0.999
sp|P00128|PROT128_HUMAN,sp|P00249|PROT249_HUMAN,0.999
sp|P00129|PROT129_HUMAN,sp|P00188|PROT188_HUMAN,0.999
sp|P00129|PROT129_HUMAN,sp|P00248|PROT248_HUMAN,0.999
sp|P00130|PROT130_HUMAN,sp|P00187|PROT187_HUMAN,0.999
sp|P00130|PROT130_HUMAN,sp|P00247|PROT247_HUMAN,0.999
sp|P00131|PROT131_HUMAN,sp|P00186|PROT186_HUMAN,0.999
sp|P00131|PROT131_HUMAN,sp|P00246|PROT246_HUMAN,0.999
sp|P00132|PROT132_HUMAN,sp|P00185|PROT185_HUMAN,0.999
sp|P00132|PROT132_HUMAN,sp|P00245|PROT245_HUMAN,0.999
sp|P00133|PROT133_HUMAN,sp|P00184|PROT184_HUMAN,0.999
sp|P00133|PROT133_HUMAN,sp|P00244|PROT244_HUMAN,0.999
sp|P00134|PROT134_HUMAN,sp|P00183|PROT183_HUMAN,0.999
sp|P00134|PROT134_HUMAN,sp|P00243|PROT243_HUMAN,0.999
sp|P00135|PROT135_HUMAN,sp|P00182|PROT182_HUMAN,0.999
sp|P00135|PROT135_HUMAN,sp|P00242|PROT242_HUMAN,0.999
sp|P00136|PROT136_HUMAN,sp|P00181|PROT181_HUMAN,0.999
sp|P00136|PROT136_HUMAN,sp|P00241|PROT241_HUMAN,0.999
sp|P00137|PROT137_HUMAN,sp|P00180|PROT180_HUMAN,0.999
sp|P00137|PROT137_HUMAN,sp|P00240|PROT240_HUMAN,0.999
sp|P00138|PROT138_HUMAN,sp|P00179|PROT179_HUMAN,0.999
sp|P00138|PROT138_HUMAN,sp|P00239|PROT239_HUMAN,0.999
sp|P00139|PROT139_HUMAN,sp|P00178|PROT178_HUMAN,0.999
sp|P00139|PROT139_HUMAN,sp|P00238|PROT238_HUMAN,0.999
sp|P00140|PROT140_HUMAN,sp|P00177|PROT177_HUMAN,0.999
sp|P00140|PROT140_HUMAN,sp|P00237|PROT237_HUMAN,0.999
sp|P00141|PROT141_HUMAN,sp|P00176|PROT176_HUMAN,0.999
sp|P00141|PROT141_HUMAN,sp|P00236|PROT236_HUMAN,0.999
sp|P00142|PROT142_HUMAN,sp|P00175|PROT175_HUMAN,0.999
sp|P00142|PROT142_HUMAN,sp|P00235|PROT235_HUMAN,0.999
sp|P00143|PROT143_HUMAN,sp|P00174|PROT174_HUMAN,0.999
sp|P00143|PROT143_HUMAN,sp|P00234|PROT234_HUMAN,0.999
sp|P00144|PROT144_HUMAN,sp|P00173|PROT173_HUMAN,0.999
sp|P00144|PROT144_HUMAN,sp|P00233|PROT233_HUMAN,0.999
sp|P00145|PROT145_HUMAN,sp|P00172|PROT172_HUMAN,0.999
sp|P00145|PROT145_HUMAN,sp|P00232|PROT232_HUMAN,0.999
sp|P00146|PROT146_HUMAN,sp|P00171|PROT171_HUMAN,0.999
sp|P00146|PROT146_HUMAN,sp|P00231|PROT231_HUMAN,0.999
sp|P00147|PROT147_HUMAN,sp|P00170|PROT170_HUMAN,0.999
sp|P00147|PROT147_HUMAN,sp|P00230|PROT230_HUMAN,0.999
sp|P00148|PROT148_HUMAN,sp|P00169|PROT169_HUMAN,0.999
sp|P00148|PROT148_HUMAN,sp|P00229|PROT229_HUMAN,0.999
sp|P00149|PROT149_HUMAN,sp|P00168|PROT168_HUMAN,0.999
sp|P00149|PROT149_HUMAN,sp|P00228|PROT228_HUMAN,0.999
sp|P00150|PROT150_HUMAN,sp|P00167|PROT167_HUMAN,0.999
sp|P00150|PROT150_HUMAN,sp|P00227|PROT227_HUMAN,0.999
sp|P00151|PROT151_HUMAN,sp|P00166|PROT166_HUMAN,0.999
sp|P00151|PROT151_HUMAN,sp|P00226|PROT226_HUMAN,0.999
sp|P00152|PROT152_HUMAN,sp|P00165|PROT165_HUMAN,0.999
sp|P00152|PROT152_HUMAN,sp|P00225|PROT225_HUMAN,0.999
sp|P00153|PROT153_HUMAN,sp|P00164|PROT164_HUMAN,0.999
sp|P00153|PROT153_HUMAN,sp|P00224|PROT224_HUMAN,0.999
sp|P00154|PROT154_HUMAN,sp|P00163|PROT163_HUMAN,0.999
sp|P00154|PROT154_HUMAN,sp|P00223|PROT223_HUMAN,0.999
sp|P00155|PROT155_HUMAN,sp|P00162|PROT162_HUMAN,0.999
sp|P00155|PROT155_HUMAN,sp|P00222|PROT222_HUMAN,0.999
sp|P00156|PROT156_HUMAN,sp|P00161|PROT161_HUMAN,0.999
sp|P00156|PROT156_HUMAN,sp|P00221|PROT221_HUMAN,0.999
sp|P00157|PROT157_HUMAN,sp|P00160|PROT160_HUMAN,0.999
sp|P00157|PROT157_HUMAN,sp|P00220|PROT220_HUMAN,0.999
sp|P00158|PROT158_HUMAN,sp|P00159|PROT159_HUMAN,0.999
sp|P00158|PROT158_HUMAN,sp|P00219|PROT219_HUMAN,0.999
sp|P00159|PROT159_HUMAN,sp|P00218|PROT218_HUMAN,0.999
sp|P00160|PROT160_HUMAN,sp|P00217|PROT217_HUMAN,0.999
sp|P00161|PROT161_HUMAN,sp|P00216|PROT216_HUMAN,0.999
sp|P00162|PROT162_HUMAN,sp|P00215|PROT215_HUMAN,0.999
sp|P00163|PROT163_HUMAN,sp|P00214|PROT214_HUMAN,0.999
sp|P00164|PROT164_HUMAN,sp|P00213|PROT213_HUMAN,0.999
sp|P00165|PROT165_HUMAN,sp|P00212|PROT212_HUMAN,0.999
sp|P00166|PROT166_HUMAN,sp|P00211|PROT211_HUMAN,0.999
sp|P00167|PROT167_HUMAN,sp|P00210|PROT210_HUMAN,0.999
sp|P00168|PROT168_HUMAN,sp|P00209|PROT209_HUMAN,0.999
sp|P00169|PROT169_HUMAN,sp|P00208|PROT208_HUMAN,0.999
sp|P00170|PROT170_HUMAN,sp|P00207|PROT207_HUMAN,0.999
sp|P00171|PROT171_HUMAN,sp|P00206|PROT206_HUMAN,0.999
sp|P00172|PROT172_HUMAN,sp|P00205|PROT205_HUMAN,0.999
sp|P00173|PROT173_HUMAN,sp|P00204|PROT204_HUMAN,0.999
sp|P00174|PROT174_HUMAN,sp|P00203|PROT203_HUMAN,0.999
sp|P00175|PROT175_HUMAN,sp|P00202|PROT202_HUMAN,0.999
sp|P00176|PROT176_HUMAN,sp|P00201|PROT201_HUMAN,0.999
sp|P00177|PROT177_HUMAN,sp|P00200|PROT200_HUMAN,0.999
sp|P00178|PROT178_HUMAN,sp|P00199|PROT199_HUMAN,0.999
sp|P00179|PROT179_HUMAN,sp|P00198|PROT198_HUMAN,0.999
sp|P00180|PROT180_HUMAN,sp|P00197|PROT197_HUMAN,0.999
sp|P00181|PROT181_HUMAN,sp|P00196|PROT196_HUMAN,0.999
sp|P00182|PROT182_HUMAN,sp|P00195|PROT195_HUMAN,0.999
sp|P00183|PROT183_HUMAN,sp|P00194|PROT194_HUMAN,0.999
sp|P00184|PROT184_HUMAN,sp|P00193|PROT193_HUMAN,0.999
sp|P00185|PROT185_HUMAN,sp|P00192|PROT192_HUMAN,0.999
sp|P00186|PROT186_HUMAN,sp|P00191|PROT191_HUMAN,0.999
sp|P00187|PROT187_HUMAN,sp|P00190|PROT190_HUMAN,0.999
sp|P00187|PROT187_HUMAN,sp|P00250|PROT250_HUMAN,0.999
sp|P00188|PROT188_HUMAN,sp|P00189|PROT189_HUMAN,0.999
sp|P00188|PROT188_HUMAN,sp|P00249|PROT249_HUMAN,0.999
sp|P00189|PROT189_HUMAN,sp|P00248|PROT248_HUMAN,0.999
sp|P00190|PROT190_HUMAN,sp|P00247|PROT247_HUMAN,0.999
sp|P00191|PROT191_HUMAN,sp|P00246|PROT246_HUMAN,0.999
sp|P00192|PROT192_HUMAN,sp|P00245|PROT245_HUMAN,0.999
sp|P00193|PROT193_HUMAN,sp|P00244|PROT244_HUMAN,0.999
sp|P00194|PROT194_HUMAN,sp|P00243|PROT243_HUMAN,0.999
sp|P00195|PROT195_HUMAN,sp|P00242|PROT242_HUMAN,0.999
sp|P00196|PROT196_HUMAN,sp|P00241|PROT241_HUMAN,0.999
sp|P00197|PROT197_HUMAN,sp|P00240|PROT240_HUMAN,0.999
sp|P00198|PROT198_HUMAN,sp|P00239|PROT239_HUMAN,0.999
sp|P00199|PROT199_HUMAN,sp|P00238|PROT238_HUMAN,0.999
sp|P00200|PROT200_HUMAN,sp|P00237|PROT237_HUMAN,0.999
sp|P00201|PROT201_HUMAN,sp|P00236|PROT236_HUMAN,0.999
sp|P00202|PROT202_HUMAN,sp|P00235|PROT235_HUMAN,0.999
sp|P00203|PROT203_HUMAN,sp|P00234|PROT234_HUMAN,0.999
sp|P00204|PROT204_HUMAN,sp|P00233|PROT233_HUMAN,0.999
sp|P00205|PROT205_HUMAN,sp|P00232|PROT232_HUMAN,0.999
sp|P00206|PROT206_HUMAN,sp|P00231|PROT231_HUMAN,0.999
sp|P00207|PROT207_HUMAN,sp|P00230|PROT230_HUMAN,0.999
sp|P00208|PROT208_HUMAN,sp|P00229|PROT229_HUMAN,0.999
sp|P00209|PROT209_HUMAN,sp|P00228|PROT228_HUMAN,0.999
sp|P00210|PROT210_HUMAN,sp|P00227|PROT227_HUMAN,0.999
sp|P00211|PROT211_HUMAN,sp|P00226|PROT226_HUMAN,0.999
sp|P00212|PROT212_HUMAN,sp|P00225|PROT225_HUMAN,0.999
sp|P00213|PROT213_HUMAN,sp|P00224|PROT224_HUMAN,0.999
sp|P00214|PROT214_HUMAN,sp|P00223|PROT223_HUMAN,0.999
sp|P00215|PROT215_HUMAN,sp|P00222|PROT222_HUMAN,0.999
sp|P00216|PROT216_HUMAN,sp|P00221|PROT221_HUMAN,0.999
sp|P00217|PROT217_HUMAN,sp|P00220|PROT220_HUMAN,0.999
sp|P00218|PROT218_HUMAN,sp|P00219|PROT219_HUMAN,0.999
sp|P00247|PROT247_HUMAN,sp|P00250|PROT250_HUMAN,0.999
sp|P00248|PROT248_HUMAN,sp|P00249|PROT249_HUMAN,0.999
sp|P00001|PROT001_HUMAN,sp|P00015|PROT015_HUMAN,0.9973
sp|P00001|PROT001_HUMAN,sp|P00017|PROT017_HUMAN,0.9973
sp|P00001|PROT001_HUMAN,sp|P00075|PROT075_HUMAN,0.9973
sp|P00001|PROT001_HUMAN,sp|P00077|PROT077_HUMAN,0.9973
sp|P00001|PROT001_HUMAN,sp|P00135|PROT135_HUMAN,0.9973
sp|P00001|PROT001_HUMAN,sp|P00137|PROT137_HUMAN,0.9973
sp|P00001|PROT001_HUMAN,sp|P00195|PROT195_HUMAN,0.9973
sp|P00001|PROT001_HUMAN,sp|P00197|PROT197_HUMAN,0.9973
sp|P00002|PROT002_HUMAN,sp|P00014|PROT014_HUMAN,0.9973
sp|P00002|PROT002_HUMAN,sp|P00016|PROT016_HUMAN,0.9973
sp|P00002|PROT002_HUMAN,sp|P00074|PROT074_HUMAN,0.9973
sp|P00002|PROT002_HUMAN,sp|P00076|PROT076_HUMAN,0.9973
sp|P00002|PROT002_HUMAN,sp|P00134|PROT134_HUMAN,0.9973
sp|P00002|PROT002_HUMAN,sp|P00136|PROT136_HUMAN,0.9973
sp|P00002|PROT002_HUMAN,sp|P00194|PROT194_HUMAN,0.9973
sp|P00002|PROT002_HUMAN,sp|P00196|PROT196_HUMAN,0.9973
sp|P00003|PROT003_HUMAN,sp|P00013|PROT013_HUMAN,0.9973
sp|P00003|PROT003_HUMAN,sp|P00015|PROT015_HUMAN,0.9973
sp|P00003|PROT003_HUMAN,sp|P00073|PROT073_HUMAN,0.9973
sp|P00003|PROT003_HUMAN,sp|P00075|PROT075_HUMAN,0.9973
sp|P00003|PROT003_HUMAN,sp|P00133|PROT133_HUMAN,0.9973
sp|P00003|PROT003_HUMAN,sp|P00135|PROT135_HUMAN,0.9973
sp|P00003|PROT003_HUMAN,sp|P00193|PROT193_HUMAN,0.9973
sp|P00003|PROT003_HUMAN,sp|P00195|PROT195_HUMAN,0.9973
sp|P00004|PROT004_HUMAN,sp|P00012|PROT012_HUMAN,0.9973
sp|P00004|PROT004_HUMAN,sp|P00014|PROT014_HUMAN,0.9973
sp|P00004|PROT004_HUMAN,sp|P00072|PROT072_HUMAN,0.9973
sp|P00004|PROT004_HUMAN,sp|P00074|PROT074_HUMAN,0.9973
sp|P00004|PROT004_HUMAN,sp|P00132|PROT132_HUMAN,0.9973
sp|P00004|PROT004_HUMAN,sp|P00134|PROT134_HUMAN,0.9973
sp|P00004|PROT004_HUMAN,sp|P00192|PROT192_HUMAN,0.9973
sp|P00004|PROT004_HUMAN,sp|P00194|PROT194_HUMAN,0.9973
sp|P00005|PROT005_HUMAN,sp|P00011|PROT011_HUMAN,0.9973
sp|P00005|PROT005_HUMAN,sp|P00013|PROT013_HUMAN,0.9973
sp|P00005|PROT005_HUMAN,sp|P00071|PROT071_HUMAN,0.9973
sp|P00005|PROT005_HUMAN,sp|P00073|PROT073_HUMAN,0.9973
sp|P00005|PROT005_HUMAN,sp|P00131|PROT131_HUMAN,0.9973
sp|P00005|PROT005_HUMAN,sp|P00133|PROT133_HUMAN,0.9973
sp|P00005|PROT005_HUMAN,sp|P00191|PROT191_HUMAN,0.9973
sp|P00005|PROT005_HUMAN,sp|P00193|PROT193_HUMAN,0.9973
sp|P00006|PROT006_HUMAN,sp|P00010|PROT010_HUMAN,0.9973
sp|P00006|PROT006_HUMAN,sp|P00012|PROT012_HUMAN,0.9973
sp|P00006|PROT006_HUMAN,sp|P00070|PROT070_HUMAN,0.9973
sp|P00006|PROT006_HUMAN,sp|P00072|PROT072_HUMAN,0.9973
sp|P00006|PROT006_HUMAN,sp|P00130|PROT130_HUMAN,0.9973
sp|P00006|PROT006_HUMAN,sp|P00132|PROT132_HUMAN,0.9973
sp|P00006|PROT006_HUMAN,sp|P00190|PROT190_HUMAN,0.9973
sp|P00006|PROT006_HUMAN,sp|P00192|PROT192_HUMAN,0.9973
sp|P00006|PROT006_HUMAN,sp|P00250|PROT250_HUMAN,0.9973
sp|P00007|PROT007_HUMAN,sp|P00009|PROT009_HUMAN,0.9973
sp|P00007|PROT007_HUMAN,sp|P00011|PROT011_HUMAN,0.9973
sp|P00007|PROT007_HUMAN,sp|P00069|PROT069_HUMAN,0.9973
sp|P00007|PROT007_HUMAN,sp|P00071|PROT071_HUMAN,0.9973
sp|P00007|PROT007_HUMAN,sp|P00129|PROT129_HUMAN,0.9973
sp|P00007|PROT007_HUMAN,sp|P00131|PROT131_HUMAN,0.9973
sp|P00007|PROT007_HUMAN,sp|P00189|PROT189_HUMAN,0.9973
sp|P00007|PROT007_HUMAN,sp|P00191|PROT191_HUMAN,0.9973
sp|P00007|PROT007_HUMAN,sp|P00249|PROT249_HUMAN,0.9973
sp|P00008|PROT008_HUMAN,sp|P00010|PROT010_HUMAN,0.9973
sp|P00008|PROT008_HUMAN,sp|P00068|PROT068_HUMAN,0.9973
sp|P00008|PROT008_HUMAN,sp|P00070|PROT070_HUMAN,0.9973
sp|P00008|PROT008_HUMAN,sp|P00128|PROT128_HUMAN,0.9973
sp|P00008|PROT008_HUMAN,sp|P00130|PROT130_HUMAN,0.9973
sp|P00008|PROT008_HUMAN,sp|P00188|PROT188_HUMAN,0.9973
sp|P00008|PROT008_HUMAN,sp|P00190|PROT190_HUMAN,0.9973
sp|P00008|PROT008_HUMAN,sp|P00248|PROT248_HUMAN,0.9973
sp|P00008|PROT008_HUMAN,sp|P00250|PROT250_HUMAN,0.9973
sp|P00009|PROT009_HUMAN,sp|P00067|PROT067_HUMAN,0.9973
sp|P00009|PROT009_HUMAN,sp|P00069|PROT069_HUMAN,0.9973
sp|P00009|PROT009_HUMAN,sp|P00127|PROT127_HUMAN,0.9973
sp|P00009|PROT009_HUMAN,sp|P00129|PROT129_HUMAN,0.9973
sp|P00009|PROT009_HUMAN,sp|P00187|PROT187_HUMAN,0.9973
sp|P00009|PROT009_HUMAN,sp|P00189|PROT189_HUMAN,0.9973
sp|P00009|PROT009_HUMAN,sp|P00247|PROT247_HUMAN,0.9973
sp|P00009|PROT009_HUMAN,sp|P00249|PROT249_HUMAN,0.9973
sp|P00010|PROT010_HUMAN,sp|P00066|PROT066_HUMAN,0.9973
sp|P00010|PROT010_HUMAN,sp|P00068|PROT068_HUMAN,0.9973
sp|P00010|PROT010_HUMAN,sp|P00126|PROT126_HUMAN,0.9973
sp|P00010|PROT010_HUMAN,sp|P00128|PROT128_HUMAN,0.9973
sp|P00010|PROT010_HUMAN,sp|P00186|PROT186_HUMAN,0.9973
sp|P00010|PROT010_HUMAN,sp|P00188|PROT188_HUMAN,0.9973
sp|P00010|PROT010_HUMAN,sp|P00246|PROT246_HUMAN,0.9973
sp|P00010|PROT010_HUMAN,sp|P00248|PROT248_HUMAN,0.9973
sp|P00011|PROT011_HUMAN,sp|P00065|PROT065_HUMAN,0.9973
sp|P00011|PROT011_HUMAN,sp|P00067|PROT067_HUMAN,0.9973
sp|P00011|PROT011_HUMAN,sp|P00125|PROT125_HUMAN,0.9973
sp|P00011|PROT011_HUMAN,sp|P00127|PROT127_HUMAN,0.9973
sp|P00011|PROT011_HUMAN,sp|P00185|PROT185_HUMAN,0.9973
sp|P00011|PROT011_HUMAN,sp|P00187|PROT187_HUMAN,0.9973
sp|P00011|PROT011_HUMAN,sp|P00245|PROT245_HUMAN,0.9973
sp|P00011|PROT011_HUMAN,sp|P00247|PROT247_HUMAN,0.9973
sp|P00012|PROT012_HUMAN,sp|P00064|PROT064_HUMAN,0.9973
sp|P00012|PROT012_HUMAN,sp|P00066|PROT066_HUMAN,0.9973
sp|P00012|PROT012_HUMAN,sp|P00124|PROT124_HUMAN,0.9973
sp|P00012|PROT012_HUMAN,sp|P00126|PROT126_HUMAN,0.9973
sp|P00012|PROT012_HUMAN,sp|P00184|PROT184_HUMAN,0.9973
sp|P00012|PROT012_HUMAN,sp|P00186|PROT186_HUMAN,0.9973
sp|P00012|PROT012_HUMAN,sp|P00244|PROT244_HUMAN,0.9973
sp|P00012|PROT012_HUMAN,sp|P00246|PROT246_HUMAN,0.9973
sp|P00013|PROT013_HUMAN,sp|P00063|PROT063_HUMAN,0.9973
sp|P00013|PROT013_HUMAN,sp|P00065|PROT065_HUMAN,0.9973
sp|P00013|PROT013_HUMAN,sp|P00123|PROT123_HUMAN,0.9973
sp|P00013|PROT013_HUMAN,sp|P00125|PROT125_HUMAN,0.9973
sp|P00013|PROT013_HUMAN,sp|P00183|PROT183_HUMAN,0.9973
sp|P00013|PROT013_HUMAN,sp|P00185|PROT185_HUMAN,0.9973
sp|P00013|PROT013_HUMAN,sp|P00243|PROT243_HUMAN,0.9973
sp|P00013|PROT013_HUMAN,sp|P00245|PROT245_HUMAN,0.9973
sp|P00014|PROT014_HUMAN,sp|P00062|PROT062_HUMAN,0.9973
sp|P00014|PROT014_HUMAN,sp|P00064|PROT064_HUMAN,0.9973
sp|P00014|PROT014_HUMAN,sp|P00122|PROT122_HUMAN,0.9973
sp|P00014|PROT014_HUMAN,sp|P00124|PROT124_HUMAN,0.9973
sp|P00014|PROT014_HUMAN,sp|P00182|PROT182_HUMAN,0.9973
sp|P00014|PROT014_HUMAN,sp|P00184|PROT184_HUMAN,0.9973
sp|P00014|PROT014_HUMAN,sp|P00242|PROT242_HUMAN,0.9973
sp|P00014|PROT014_HUMAN,sp|P00244|PROT244_HUMAN,0.9973
sp|P00015|PROT015_HUMAN,sp|P00061|PROT061_HUMAN,0.9973
sp|P00015|PROT015_HUMAN,sp|P00063|PROT063_HUMAN,0.9973
sp|P00015|PROT015_HUMAN,sp|P00121|PROT121_HUMAN,0.9973
sp|P00015|PROT015_HUMAN,sp|P00123|PROT123_HUMAN,0.9973
sp|P00015|PROT015_HUMAN,sp|P00181|PROT181_HUMAN,0.9973
sp|P00015|PROT015_HUMAN,sp|P00183|PROT183_HUMAN,0.9973
sp|P00015|PROT015_HUMAN,sp|P00241|PROT241_HUMAN,0.9973
sp|P00015|PROT015_HUMAN,sp|P00243|PROT243_HUMAN,0.9973
sp|P00016|PROT016_HUMAN,sp|P00060|PROT060_HUMAN,0.9973
sp|P00016|PROT016_HUMAN,sp|P00062|PROT062_HUMAN,0.9973
sp|P00016|PROT016_HUMAN,sp|P00120|PROT120_HUMAN,0.9973
sp|P00016|PROT016_HUMAN,sp|P00122|PROT122_HUMAN,0.9973
sp|P00016|PROT016_HUMAN,sp|P00180|PROT180_HUMAN,0.9973
sp|P00016|PROT016_HUMAN,sp|P00182|PROT182_HUMAN,0.9973
sp|P00016|PROT016_HUMAN,sp|P00240|PROT240_HUMAN,0.9973
sp|P00016|PROT016_HUMAN,sp|P00242|PROT242_HUMAN,0.9973
sp|P00017|PROT017_HUMAN,sp|P00059|PROT059_HUMAN,0.9973
sp|P00017|PROT017_HUMAN,sp|P00061|PROT061_HUMAN,0.9973
sp|P00017|PROT017_HUMAN,sp|P00119|PROT119_HUMAN,0.9973
sp|P00017|PROT017_HUMAN,sp|P00121|PROT121_HUMAN,0.9973
sp|P00017|PROT017_HUMAN,sp|P00179|PROT179_HUMAN,0.9973
sp|P00017|PROT017_HUMAN,sp|P00181|PROT181_HUMAN,0.9973
sp|P00017|PROT017_HUMAN,sp|P00239|PROT239_HUMAN,0.9973
sp|P00017|PROT017_HUMAN,sp|P00241|PROT241_HUMAN,0.9973
sp|P00018|PROT018_HUMAN,sp|P00058|PROT058_HUMAN,0.9973
sp|P00018|PROT018_HUMAN,sp|P00060|PROT060_HUMAN,0.9973
sp|P00018|PROT018_HUMAN,sp|P00118|PROT118_HUMAN,0.9973
sp|P00018|PROT018_HUMAN,sp|P00120|PROT120_HUMAN,0.9973
sp|P00018|PROT018_HUMAN,sp|P00178|PROT178_HUMAN,0.9973
sp|P00018|PROT018_HUMAN,sp|P00180|PROT180_HUMAN,0.9973
sp|P00018|PROT018_HUMAN,sp|P00238|PROT238_HUMAN,0.9973
sp|P00018|PROT018_HUMAN,sp|P00240|PROT240_HUMAN,0.9973
sp|P00019|PROT019_HUMAN,sp|P00057|PROT057_HUMAN,0.9973
sp|P00019|PROT019_HUMAN,sp|P00059|PROT059_HUMAN,0.9973
sp|P00019|PROT019_HUMAN,sp|P00117|PROT117_HUMAN,0.9973
sp|P00019|PROT019_HUMAN,sp|P00119|PROT119_HUMAN,0.9973
sp|P00019|PROT019_HUMAN,sp|P00177|PROT177_HUMAN,0.9973
sp|P00019|PROT019_HUMAN,sp|P00179|PROT179_HUMAN,0.9973
sp|P00019|PROT019_HUMAN,sp|P00237|PROT237_HUMAN,0.9973
sp|P00019|PROT019_HUMAN,sp|P00239|PROT239_HUMAN,0.9973
sp|P00020|PROT020_HUMAN,sp|P00056|PROT056_HUMAN,0.9973
sp|P00020|PROT020_HUMAN,sp|P00058|PROT058_HUMAN,0.9973
sp|P00020|PROT020_HUMAN,sp|P00116|PROT116_HUMAN,0.9973
sp|P00020|PROT020_HUMAN,sp|P00118|PROT118_HUMAN,0.9973
sp|P00020|PROT020_HUMAN,sp|P00176|PROT176_HUMAN,0.9973
sp|P00020|PROT020_HUMAN,sp|P00178|PROT178_HUMAN,0.9973
sp|P00020|PROT020_HUMAN,sp|P00236|PROT236_HUMAN,0.9973
sp|P00020|PROT020_HUMAN,sp|P00238|PROT238_HUMAN,0.9973
sp|P00021|PROT021_HUMAN,sp|P00055|PROT055_HUMAN,0.9973
sp|P00021|PROT021_HUMAN,sp|P00057|PROT057_HUMAN,0.9973
sp|P00021|PROT021_HUMAN,sp|P00115|PROT115_HUMAN,0.9973
sp|P00021|PROT021_HUMAN,sp|P00117|PROT117_HUMAN,0.9973
sp|P00021|PROT021_HUMAN,sp|P00175|PROT175_HUMAN,0.9973
sp|P00021|PROT021_HUMAN,sp|P00177|PROT177_HUMAN,0.9973
sp|P00021|PROT021_HUMAN,sp|P00235|PROT235_HUMAN,0.9973
sp|P00021|PROT021_HUMAN,sp|P00237|PROT237_HUMAN,0.9973
sp|P00022|PROT022_HUMAN,sp|P00054|PROT054_HUMAN,0.9973
